"","f1.1r1","f1.1r2","f1.2r1","f1.2r2","f1.3r1","f1.3r2","f1.4r1","f1.4r2","f1.5r1","f1.5r2","f1.6r1","f1.6r2","f3.1r1","f3.1r2","f3.1r3","f3.2r1","f3.2r2","f3.3r1","f3.3r2","f3.4r1","f3.4r2","f3.5r1","f3.6r1","f3br1","f12.1r1","f8.1r1","f8.1r2","f8.1r3","f8.2r1","f8.3pbr1","f8.3pbr2","f12.1r2","f12.1r3","f12.1r4","f12.2r1","f12.2r2","f12.2r3","f12.2r4","f12.3r1","f12.3r2","f12br1","f12br2","f14.1r1N2","f14.1r2","f14.1r3","f14cbr1","f14cbr2","f14r1","f17.2r1","f18.1r1N2","f18.1r2","f18.1r3","f28r3","f28r4","fRYr1"
"OTU_ 1 Symbiodinium C1",29350,13990,181,9938,21068,127,95,290,15052,20703,15861,3634,101,103,48,180,24,14908,48,2450,313,62,163,87,1072,64,460,76,23,62,2,945,908,3320,965,35,47,386,60045,22988,11799,3490,15739,25149,2283,994,1611,77,266,985,33,26062,3620,6273,237
"OTU_ 2 Symbiodinium D1",964,11664,261,4701,19291,12914,15838,4732,2612,1224,14596,12821,6790,14838,40313,5907,40730,13965,27933,5379,20200,8368,36884,738,7816,99,84,118,28,28,26,8456,1840,7235,41,5517,2836,3220,5413,7979,21069,21059,306,1195,105,614,119,3596,274,281,7,18728,16834,17,17922
"OTU_ 3 Symbiodinium A3",2425,3205,31180,391,666,11043,21152,7785,13895,6767,7984,1723,45465,14425,12090,8295,3593,1742,18463,5350,188,11157,1093,12720,41115,143,472,120,15,25,18,35367,39408,2424,19361,30768,13228,35122,3999,7565,15393,15674,2043,2,46,74,392,5,269,1,7,122,16763,18,13027
"OTU_ 4 Uncultured organism",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,52282,33659,12547,7709,4,61569,2,14,6,21,3,0,1
"OTU_ 5 Uncultured organism",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,272,0,0,0,0,0,0,0,0,0,0,3,0,2866,0,0,0,5,8,0,0,7,2,7,4,8,0,0,0
"OTU_ 6 Symbiodinium D1a",25,275,22,178,4619,764,712,240,121,157,2731,95,882,2797,2808,40,3905,1084,4179,1021,101,735,11355,132,104,13,2,7,2,11,1,1093,431,166,2,271,2,62,322,606,1584,2570,18,2,9,88,112,3,37,38,0,2584,3,0,858
"OTU_ 7 Symbiodinium microadriaticum",61,43,70,3,3,3,0,1,3,13,21,10,9,3668,59,5,81,5843,13,1047,2848,23,79,2627,38,7,14,81,2,0,4,2710,339,20115,21304,9,24917,18,74,3,3843,189,225,0,2,5,2,0,4,0,0,0,1769,1,6697
"OTU_ 8 Symbiodinium G6",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,23125,1,0,0,9,0,4,0,0,0
"OTU_ 9 Uncultured eukaryote",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0
"OTU_ 13 Symbiodinium 1635",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,9749,4022,14996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,109,0,0,0,0,0,0,0,0
"OTU_ 14 Symbiodinium F1",0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_ 15 Uncultured eukaryote",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_ 19 Uncultured eukaryote",0,0,383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1067,0,0
"OTU_ 23 Uncultured eukaryote",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_ 24 Symbiodinium HI-0509",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,714,242,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,1,875,6303,0,0,0,0,0,0,0,0
"OTU_ 26 Uncultured eukaryote",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,201,0,0,1,0,0,0,0,0,0
"OTU_ 27 Uncultured Symbiodinium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_ 30 Uncultured Symbiodinium",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_ 33 Uncultured eukaryote",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,145,14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,67,0,342,261,0,0,0,0,0,0,107,0
"OTU_ 35 Uncultured eukaryote",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_ 37 Uncultured soil euk",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_ 41 Uncultured eukaryote",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,0,1,0,0,0,0,0,0
"OTU_ 42 Uncultured eukaryote",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_ 44 Uncultured eukaryote",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_ 45 Symbiodinium B1",0,69,2,0,0,0,0,1,19,1,13,731,0,0,0,0,0,0,327,0,86,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_ 46 Uncultured eukaryote",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_ 47 Uncultured eukaryote",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_ 48 Symbiodinium G3.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192,0,0,0,0,0,0,0,0,0
"OTU_ 50 Symbiodinium F5.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_ 52 Uncultured eukaryote",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"OTU_ 56 Uncultured eukaryote",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_ 57 Symbiodinium A13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_ 58 Uncultured organism",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1599,0,0,0,1,0,0,0
"OTU_ 59 Uncultured eukaryote",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_ 61 Uncultured eukaryote",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1182,611,0,0,0,0,0,0,0,0
"OTU_ 62 Symbiodinium H1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,0,0,0,0,0,0,0,0
"OTU_ 63 Symbiodinium C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0
"OTU_ 65 Uncultured eukaryote",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_ 66 Symbiodinium JCUSG-1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,2,0,0,0,1,0,0,0,0,0,0
"OTU_ 68 Symbiodinium G4",0,0,0,852,2,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,633,0,0,0,0,0,0,0,0,0
"OTU_ 69 Uncultured eukaryote",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"OTU_ 71 Uncultured eukaryote",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1237,0,0,0,0,0,0,0,0
"OTU_ 75 Uncultured eukaryote",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_ 78 Uncultured eukaryote",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_ 81 Symbiodinium 1363",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,0,0,0,0,0,0,0,0,0
"OTU_ 82 Uncultured eukaryote",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_ 89 Symbiodinium D1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_ 93 Symbiodinium F4.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_ 96 Symbiodinium F3.2",0,0,0,0,0,0,0,22,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,307,0,0,0,0,0,0,0,0
"OTU_ 97 Uncultured eukaryote",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,8,0,0,0,0,0,0,0,0
"OTU_ 100 Symbiodinium 1363",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_ 101 Uncultured organism",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_ 102 Symbiodinium 1681",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_ 104 Symbiodinium C",0,0,0,0,0,1,0,0,0,0,0,0,1,2,3,0,0,0,0,0,0,0,1,0,2,1,0,1,0,0,0,2,0,0,2,3,1,4,2,1,1,30,0,4,0,0,460,4,0,0,0,0,21,0,5
"OTU_ 106 Symbiodinium 13467",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,0,0,0,0,0,0,0,0
"OTU_ 111 Symbiodinium A3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,485,0,0,0,0,0,0,0,0
"OTU_ 114 Uncultured eukaryote",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,485,0,0,0,0
"OTU_ 115 Uncultured eukaryote",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,482,0,0,0,0,0,0,0,0,0
"OTU_ 119 Symbiodinium 1631",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_ 121 Symbiodinium type",760,364,0,171,623,2,1,1,357,433,367,26,0,0,3,0,0,391,0,40,4,2,3,0,33,1,0,1,0,1,0,0,0,0,8,1,0,5,1515,539,213,0,0,400,51,10,63,0,0,0,0,578,3,3,2
"OTU_ 124 Symbiodinium 1635",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1375,635,2100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_ 134 Symbiodinium ex",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_ 140 Symbiodinium C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"OTU_ 142 Symbiodinium D1a",0,1,0,0,0,0,0,0,0,0,4,63,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_ 149 Uncultured organism",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_ 150 Uncultured eukaryote",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_ 151 Uncultured eukaryote",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_ 153 Symbiodinium C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
