,Domain,Kingdom,Phylum,Class,Order,Family,Genus,Species,Subspecies
OTU_ 1 Symbiodinium C1,Eukaryota,Chromalveolata,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Symbiodinium,C,C1
OTU_ 2 Symbiodinium D1,Eukaryota,Chromalveolata,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Symbiodinium,D,D1
OTU_ 3 Symbiodinium A3,Eukaryota,Chromalveolata,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Symbiodinium,A,A3
OTU_ 4 Uncultured organism,Eukaryota,NA,NA,NA,NA,NA,NA,NA,NA
OTU_ 5 Uncultured organism,Eukaryota,NA,NA,NA,NA,NA,NA,NA,NA
OTU_ 6 Symbiodinium D1a,Eukaryota,Chromalveolata,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Symbiodinium,D,D1a
OTU_ 7 Symbiodinium microadriaticum,Eukaryota,Chromalveolata,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Symbiodinium,A,microadriaticum
OTU_ 8 Symbiodinium G6,Eukaryota,Chromalveolata,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Symbiodinium,G,G6
OTU_ 9 Uncultured eukaryote,Eukaryota,NA,NA,NA,NA,NA,NA,NA,NA
OTU_ 13 Symbiodinium 1635,Eukaryota,Chromalveolata,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Symbiodinium,C,1635
OTU_ 14 Symbiodinium F1,Eukaryota,Chromalveolata,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Symbiodinium,F,F1
OTU_ 15 Uncultured eukaryote,Eukaryota,NA,NA,NA,NA,NA,NA,NA,NA
OTU_ 19 Uncultured eukaryote,Eukaryota,NA,NA,NA,NA,NA,NA,NA,NA
OTU_ 23 Uncultured eukaryote,Eukaryota,NA,NA,NA,NA,NA,NA,NA,NA
OTU_ 24 Symbiodinium HI-0509,Eukaryota,Chromalveolata,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Symbiodinium,A,HI-0509
OTU_ 26 Uncultured eukaryote,Eukaryota,NA,NA,NA,NA,NA,NA,NA,NA
OTU_ 27 Uncultured Symbiodinium,Eukaryota,Chromalveolata,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Symbiodinium,NA,NA
OTU_ 30 Uncultured Symbiodinium,Eukaryota,Chromalveolata,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Symbiodinium,NA,NA
OTU_ 33 Uncultured eukaryote,Eukaryota,NA,NA,NA,NA,NA,NA,NA,NA
OTU_ 35 Uncultured eukaryote,Eukaryota,NA,NA,NA,NA,NA,NA,NA,NA
OTU_ 37 Uncultured soil euk,Eukaryota,NA,NA,NA,NA,NA,NA,NA,NA
OTU_ 41 Uncultured eukaryote,Eukaryota,NA,NA,NA,NA,NA,NA,NA,NA
OTU_ 42 Uncultured eukaryote,Eukaryota,NA,NA,NA,NA,NA,NA,NA,NA
OTU_ 44 Uncultured eukaryote,Eukaryota,NA,NA,NA,NA,NA,NA,NA,NA
OTU_ 45 Symbiodinium B1,Eukaryota,Chromalveolata,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Symbiodinium,B,B1
OTU_ 46 Uncultured eukaryote,Eukaryota,NA,NA,NA,NA,NA,NA,NA,NA
OTU_ 47 Uncultured eukaryote,Eukaryota,NA,NA,NA,NA,NA,NA,NA,NA
OTU_ 48 Symbiodinium G3.4,Eukaryota,Chromalveolata,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Symbiodinium,G,G3.4
OTU_ 50 Symbiodinium F5.1,Eukaryota,Chromalveolata,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Symbiodinium,F,F5.1
OTU_ 52 Uncultured eukaryote,Eukaryota,NA,NA,NA,NA,NA,NA,NA,NA
OTU_ 56 Uncultured eukaryote,Eukaryota,NA,NA,NA,NA,NA,NA,NA,NA
OTU_ 57 Symbiodinium A13,Eukaryota,Chromalveolata,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Symbiodinium,A,A13
OTU_ 58 Uncultured organism,Eukaryota,NA,NA,NA,NA,NA,NA,NA,NA
OTU_ 59 Uncultured eukaryote,Eukaryota,NA,NA,NA,NA,NA,NA,NA,NA
OTU_ 61 Uncultured eukaryote,Eukaryota,NA,NA,NA,NA,NA,NA,NA,NA
OTU_ 62 Symbiodinium H1,Eukaryota,Chromalveolata,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Symbiodinium,H,H1
OTU_ 63 Symbiodinium C,Eukaryota,Chromalveolata,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Symbiodinium,C,C
OTU_ 65 Uncultured eukaryote,Eukaryota,NA,NA,NA,NA,NA,NA,NA,NA
OTU_ 66 Symbiodinium JCUSG-1,Eukaryota,Chromalveolata,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Symbiodinium,A,JCUSG-1
OTU_ 68 Symbiodinium G4,Eukaryota,Chromalveolata,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Symbiodinium,G,G4
OTU_ 69 Uncultured eukaryote,Eukaryota,NA,NA,NA,NA,NA,NA,NA,NA
OTU_ 71 Uncultured eukaryote,Eukaryota,NA,NA,NA,NA,NA,NA,NA,NA
OTU_ 75 Uncultured eukaryote,Eukaryota,NA,NA,NA,NA,NA,NA,NA,NA
OTU_ 78 Uncultured eukaryote,Eukaryota,NA,NA,NA,NA,NA,NA,NA,NA
OTU_ 81 Symbiodinium 1363,Eukaryota,Chromalveolata,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Symbiodinium,f,1363
OTU_ 82 Uncultured eukaryote,Eukaryota,NA,NA,NA,NA,NA,NA,NA,NA
OTU_ 89 Symbiodinium D1,Eukaryota,Chromalveolata,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Symbiodinium,D,D1
OTU_ 93 Symbiodinium F4.5,Eukaryota,Chromalveolata,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Symbiodinium,F,F4.5
OTU_ 96 Symbiodinium F3.2,Eukaryota,Chromalveolata,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Symbiodinium,F,F3.2
OTU_ 97 Uncultured eukaryote,Eukaryota,NA,NA,NA,NA,NA,NA,NA,NA
OTU_ 100 Symbiodinium 1363,Eukaryota,Chromalveolata,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Symbiodinium,C,1363
OTU_ 101 Uncultured organism,Eukaryota,NA,NA,NA,NA,NA,NA,NA,NA
OTU_ 102 Symbiodinium 1681,Eukaryota,Chromalveolata,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Symbiodinium,1681,1681
OTU_ 104 Symbiodinium C,Eukaryota,Chromalveolata,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Symbiodinium,C,C
OTU_ 106 Symbiodinium 13467,Eukaryota,Chromalveolata,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Symbiodinium,f,13467
OTU_ 111 Symbiodinium A3,Eukaryota,Chromalveolata,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Symbiodinium,A,A3
OTU_ 114 Uncultured eukaryote,Eukaryota,NA,NA,NA,NA,NA,NA,NA,NA
OTU_ 115 Uncultured eukaryote,Eukaryota,NA,NA,NA,NA,NA,NA,NA,NA
OTU_ 119 Symbiodinium 1631,Eukaryota,Chromalveolata,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Symbiodinium,f,1631
OTU_ 121 Symbiodinium type,Eukaryota,Chromalveolata,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Symbiodinium,C,C
OTU_ 124 Symbiodinium 1635,Eukaryota,Chromalveolata,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Symbiodinium,C,1635
OTU_ 134 Symbiodinium ex,Eukaryota,Chromalveolata,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Symbiodinium,ex,ex
OTU_ 140 Symbiodinium C,Eukaryota,Chromalveolata,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Symbiodinium,C,C
OTU_ 142 Symbiodinium D1a,Eukaryota,Chromalveolata,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Symbiodinium,D,D1a
OTU_ 149 Uncultured organism,Eukaryota,NA,NA,NA,NA,NA,NA,NA,NA
OTU_ 150 Uncultured eukaryote,Eukaryota,NA,NA,NA,NA,NA,NA,NA,NA
OTU_ 151 Uncultured eukaryote,Eukaryota,NA,NA,NA,NA,NA,NA,NA,NA
OTU_ 153 Symbiodinium C,Eukaryota,Chromalveolata,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Symbiodinium,C,C
OTU_ 157 Symbiodinium 1635,Eukaryota,Chromalveolata,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Symbiodinium,C,1635
OTU_ 159 Uncultured eukaryote,Eukaryota,NA,NA,NA,NA,NA,NA,NA,NA
OTU_ 160 Symbiodinium G3.3,Eukaryota,Chromalveolata,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Symbiodinium,G,G3.3
OTU_ 162 Symbiodinium C,Eukaryota,Chromalveolata,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Symbiodinium,C,C
OTU_ 163 Symbiodinium F5.1,Eukaryota,Chromalveolata,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Symbiodinium,f,F5.1
OTU_ 173 Symbiodinium F5.1,Eukaryota,Chromalveolata,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Symbiodinium,F,F5.1
OTU_ 175 Symbiodinium B16,Eukaryota,Chromalveolata,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Symbiodinium,B,B16
OTU_ 180 Uncultured eukaryote,Eukaryota,NA,NA,NA,NA,NA,NA,NA,NA
OTU_ 181 Uncultured Symbiodinium,Eukaryota,Chromalveolata,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Symbiodinium,NA,NA
OTU_ 182 Uncultured eukaryote,Eukaryota,NA,NA,NA,NA,NA,NA,NA,NA
OTU_ 187 Uncultured organism,Eukaryota,NA,NA,NA,NA,NA,NA,NA,NA
OTU_ 190 Uncultured Symbiodinium,Eukaryota,Chromalveolata,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Symbiodinium,NA,NA
OTU_ 196 Uncultured eukaryote,Eukaryota,NA,NA,NA,NA,NA,NA,NA,NA
OTU_ 198 Uncultured eukaryote,Eukaryota,NA,NA,NA,NA,NA,NA,NA,NA
OTU_ 200 Uncultured eukaryote,Eukaryota,NA,NA,NA,NA,NA,NA,NA,NA
OTU_ 205 Symbiodinium Oku03,Eukaryota,Chromalveolata,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Symbiodinium,A,Oku03
OTU_ 206 Uncultured eukaryote,Eukaryota,NA,NA,NA,NA,NA,NA,NA,NA
OTU_ 209 Symbiodinium D1.2,Eukaryota,Chromalveolata,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Symbiodinium,D,D1.2
OTU_ 212 Uncultured eukaryote,Eukaryota,NA,NA,NA,NA,NA,NA,NA,NA
OTU_ 215 Symbiodinium A2,Eukaryota,Chromalveolata,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Symbiodinium,A,A2
OTU_ 221 Symbiodinium G4,Eukaryota,Chromalveolata,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Symbiodinium,G,G4
OTU_ 222 Uncultured eukaryote,Eukaryota,NA,NA,NA,NA,NA,NA,NA,NA
OTU_ 223 Uncultured eukaryote,Eukaryota,NA,NA,NA,NA,NA,NA,NA,NA
OTU_ 225 Symbiodinium HI-0609,Eukaryota,Chromalveolata,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Symbiodinium,H,HI-0609
OTU_ 232 Symbiodinium C,Eukaryota,Chromalveolata,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Symbiodinium,C,C
OTU_ 235 Symbiodinium nr-i2,Eukaryota,Chromalveolata,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Symbiodinium,B?,nr-i2
OTU_ 238 Uncultured eukaryote,Eukaryota,NA,NA,NA,NA,NA,NA,NA,NA
OTU_ 243 Symbiodinium D1.1,Eukaryota,Chromalveolata,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Symbiodinium,D,D1.1
OTU_ 251 Symbiodinium ex,Eukaryota,Chromalveolata,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Symbiodinium,ex,ex
OTU_ 252 Uncultured eukaryote,Eukaryota,NA,NA,NA,NA,NA,NA,NA,NA
OTU_ 254 Symbiodinium microadriaticum,Eukaryota,Chromalveolata,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Symbiodinium,,microadriaticum
OTU_ 260 Uncultured eukaryote,Eukaryota,NA,NA,NA,NA,NA,NA,NA,NA
OTU_ 268 Symbiodinium B16,Eukaryota,Chromalveolata,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Symbiodinium,B,B16
OTU_ 269 Symbiodinium Two0504-8,Eukaryota,Chromalveolata,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Symbiodinium,CD?,Two0504-8
OTU_ 271 Uncultured eukaryote,Eukaryota,NA,NA,NA,NA,NA,NA,NA,NA
OTU_ 272 Uncultured eukaryote,Eukaryota,NA,NA,NA,NA,NA,NA,NA,NA
OTU_ 274 Uncultured eukaryote,Eukaryota,NA,NA,NA,NA,NA,NA,NA,NA
OTU_ 276 Uncultured eukaryote,Eukaryota,NA,NA,NA,NA,NA,NA,NA,NA
OTU_ 277 Symbiodinium D1.2,Eukaryota,Chromalveolata,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Symbiodinium,D,D1.2
OTU_ 284 Uncultured eukaryote,Eukaryota,NA,NA,NA,NA,NA,NA,NA,NA
OTU_ 286 Symbiodinium 1635,Eukaryota,Chromalveolata,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Symbiodinium,C,1635
OTU_ 290 Uncultured Symbiodinium,Eukaryota,Chromalveolata,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Symbiodinium,NA,NA
OTU_ 301 Symbiodinium nr-i4,Eukaryota,Chromalveolata,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Symbiodinium,FD?,nr-i4
OTU_ 303 Symbiodinium 1681,Eukaryota,Chromalveolata,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Symbiodinium,1681,1681
